ReportingCountry,country_name,Year,Pathogen,Class,Animal,PCU_ANIMALS,NS_a,Tested_a,PR_a,pathogen_name,class_name
MS9,Member State 9,2019,ESCCOL,POL,animals,0.001221363,0,528,0,E. coli,polymyxins
MS9,Member State 9,2019,ESCCOL,AMP,animals,5.736834968,166,528,0.314393939,E. coli,aminopenicillins
MS10,Member State 10,2019,ESCCOL,TET,animals,11.55121994,44,156,0.282051282,E. coli,tetracyclines
MS10,Member State 10,2019,ESCCOL,QALL,animals,1.399016414,17,156,0.108974359,E. coli,fluoroquinolones and other quinolones
MS10,Member State 10,2019,ESCCOL,CEPH,animals,0.756007017,2,156,0.012820513,E. coli,third- and fourth-generation cephalosporins 
MS10,Member State 10,2019,ESCCOL,POL,animals,0.774087859,0,156,0,E. coli,polymyxins
MS10,Member State 10,2019,ESCCOL,AMP,animals,11.99231689,47,156,0.301282051,E. coli,aminopenicillins
MS26,Member State 26,2019,ESCCOL,TET,animals,45.29155285,219,316,0.693037975,E. coli,tetracyclines
MS26,Member State 26,2019,ESCCOL,QALL,animals,5.995250669,177,316,0.560126582,E. coli,fluoroquinolones and other quinolones
MS26,Member State 26,2019,ESCCOL,CEPH,animals,0.118040391,1,316,0.003164557,E. coli,third- and fourth-generation cephalosporins 
MS26,Member State 26,2019,ESCCOL,POL,animals,1.812415616,5,316,0.015822785,E. coli,polymyxins
MS26,Member State 26,2019,ESCCOL,AMP,animals,12.76371686,233,316,0.737341772,E. coli,aminopenicillins
MS20,Member State 20,2019,ESCCOL,TET,animals,40.42006126,484,680,0.711764706,E. coli,tetracyclines
MS20,Member State 20,2019,ESCCOL,QALL,animals,4.514175898,320,680,0.470588235,E. coli,fluoroquinolones and other quinolones
MS20,Member State 20,2019,ESCCOL,CEPH,animals,0.286407807,13,680,0.019117647,E. coli,third- and fourth-generation cephalosporins 
MS20,Member State 20,2019,ESCCOL,POL,animals,1.274955809,2,680,0.002941176,E. coli,polymyxins
MS20,Member State 20,2019,ESCCOL,AMP,animals,43.24735008,482,680,0.708823529,E. coli,aminopenicillins
MS17,Member State 17,2019,ESCCOL,TET,animals,6.340984802,36,347,0.103746398,E. coli,tetracyclines
MS17,Member State 17,2019,ESCCOL,QALL,animals,0.075376966,16,347,0.04610951,E. coli,fluoroquinolones and other quinolones
MS17,Member State 17,2019,ESCCOL,CEPH,animals,0.000684228,2,347,0.005763689,E. coli,third- and fourth-generation cephalosporins 
MS17,Member State 17,2019,ESCCOL,POL,animals,0,0,347,0,E. coli,polymyxins
MS17,Member State 17,2019,ESCCOL,AMP,animals,0.454472374,34,347,0.097982709,E. coli,aminopenicillins
MS12,Member State 12,2019,ESCCOL,TET,animals,20.25409125,413,776,0.532216495,E. coli,tetracyclines
MS12,Member State 12,2019,ESCCOL,QALL,animals,0.53230831,117,776,0.150773196,E. coli,fluoroquinolones and other quinolones
MS12,Member State 12,2019,ESCCOL,CEPH,animals,0.015256661,11,776,0.014175258,E. coli,third- and fourth-generation cephalosporins 
MS12,Member State 12,2019,ESCCOL,POL,animals,1.720060153,13,776,0.016752577,E. coli,polymyxins
MS12,Member State 12,2019,ESCCOL,AMP,animals,3.992008051,316,776,0.407216495,E. coli,aminopenicillins
MS7,Member State 7,2019,ESCCOL,TET,animals,28.09127948,113,254,0.44488189,E. coli,tetracyclines
MS7,Member State 7,2019,ESCCOL,QALL,animals,2.89856926,89,254,0.350393701,E. coli,fluoroquinolones and other quinolones
MS7,Member State 7,2019,ESCCOL,CEPH,animals,0.216861172,3,254,0.011811024,E. coli,third- and fourth-generation cephalosporins 
MS7,Member State 7,2019,ESCCOL,POL,animals,1.895136697,0,254,0,E. coli,polymyxins
MS7,Member State 7,2019,ESCCOL,AMP,animals,22.6830839,93,254,0.366141732,E. coli,aminopenicillins
MS21,Member State 21,2019,ESCCOL,TET,animals,49.93374935,253,510,0.496078431,E. coli,tetracyclines
MS21,Member State 21,2019,ESCCOL,QALL,animals,10.72500087,198,510,0.388235294,E. coli,fluoroquinolones and other quinolones
MS21,Member State 21,2019,ESCCOL,CEPH,animals,0.537211811,9,510,0.017647059,E. coli,third- and fourth-generation cephalosporins 
MS21,Member State 21,2019,ESCCOL,POL,animals,8.664587128,2,510,0.003921569,E. coli,polymyxins
MS21,Member State 21,2019,ESCCOL,AMP,animals,33.61270562,246,510,0.482352941,E. coli,aminopenicillins
MS5,Member State 5,2019,ESCCOL,TET,animals,19.86649832,190,370,0.513513514,E. coli,tetracyclines
MS5,Member State 5,2019,ESCCOL,QALL,animals,0.370896578,53,370,0.143243243,E. coli,fluoroquinolones and other quinolones
MS5,Member State 5,2019,ESCCOL,CEPH,animals,0.164669254,6,370,0.016216216,E. coli,third- and fourth-generation cephalosporins 
MS5,Member State 5,2019,ESCCOL,POL,animals,0.012543665,0,370,0,E. coli,polymyxins
MS5,Member State 5,2019,ESCCOL,AMP,animals,5.085742386,135,370,0.364864865,E. coli,aminopenicillins
MS28,Member State 28,2019,ESCCOL,TET,animals,0.337260209,21,92,0.22826087,E. coli,tetracyclines
MS28,Member State 28,2019,ESCCOL,QALL,animals,0.003486925,1,92,0.010869565,E. coli,fluoroquinolones and other quinolones
MS28,Member State 28,2019,ESCCOL,CEPH,animals,0.001583148,0,92,0,E. coli,third- and fourth-generation cephalosporins 
MS28,Member State 28,2019,ESCCOL,POL,animals,0,0,92,0,E. coli,polymyxins
MS28,Member State 28,2019,ESCCOL,AMP,animals,0.40796831,11,92,0.119565217,E. coli,aminopenicillins
MS16,Member State 16,2019,ESCCOL,TET,animals,67.40612805,471,678,0.694690265,E. coli,tetracyclines
MS16,Member State 16,2019,ESCCOL,QALL,animals,3.160153675,288,678,0.424778761,E. coli,fluoroquinolones and other quinolones
MS16,Member State 16,2019,ESCCOL,CEPH,animals,0.313652818,7,678,0.010324484,E. coli,third- and fourth-generation cephalosporins 
MS16,Member State 16,2019,ESCCOL,POL,animals,1.432497278,1,678,0.001474926,E. coli,polymyxins
MS16,Member State 16,2019,ESCCOL,AMP,animals,56.18872162,464,678,0.684365782,E. coli,aminopenicillins
MS15,Member State 15,2019,ESCCOL,TET,animals,3.108252724,94,192,0.489583333,E. coli,tetracyclines
MS15,Member State 15,2019,ESCCOL,QALL,animals,1.505290136,78,192,0.40625,E. coli,fluoroquinolones and other quinolones
MS15,Member State 15,2019,ESCCOL,CEPH,animals,0.301833701,23,192,0.119791667,E. coli,third- and fourth-generation cephalosporins 
MS15,Member State 15,2019,ESCCOL,POL,animals,0.351739552,0,192,0,E. coli,polymyxins
MS15,Member State 15,2019,ESCCOL,AMP,animals,4.481516953,86,192,0.447916667,E. coli,aminopenicillins
MS11,Member State 11,2019,ESCCOL,TET,animals,8.030709803,82,352,0.232954545,E. coli,tetracyclines
MS11,Member State 11,2019,ESCCOL,QALL,animals,0.662841126,110,352,0.3125,E. coli,fluoroquinolones and other quinolones
MS11,Member State 11,2019,ESCCOL,CEPH,animals,0.367687685,0,352,0,E. coli,third- and fourth-generation cephalosporins 
MS11,Member State 11,2019,ESCCOL,POL,animals,0.905946813,0,352,0,E. coli,polymyxins
MS11,Member State 11,2019,ESCCOL,AMP,animals,6.233011615,94,352,0.267045455,E. coli,aminopenicillins
MS8,Member State 8,2019,ESCCOL,TET,animals,30.59678955,98,156,0.628205128,E. coli,tetracyclines
MS8,Member State 8,2019,ESCCOL,QALL,animals,3.730794893,57,156,0.365384615,E. coli,fluoroquinolones and other quinolones
MS8,Member State 8,2019,ESCCOL,CEPH,animals,0.177395207,9,156,0.057692308,E. coli,third- and fourth-generation cephalosporins 
MS8,Member State 8,2019,ESCCOL,POL,animals,0.880321023,0,156,0,E. coli,polymyxins
MS8,Member State 8,2019,ESCCOL,AMP,animals,4.513609117,65,156,0.416666667,E. coli,aminopenicillins
MS1,Member State 1,2019,ESCCOL,TET,animals,16.95295809,359,807,0.444857497,E. coli,tetracyclines
MS1,Member State 1,2019,ESCCOL,QALL,animals,0.796988245,17,807,0.021065675,E. coli,fluoroquinolones and other quinolones
MS1,Member State 1,2019,ESCCOL,CEPH,animals,0.00080401,0,807,0,E. coli,third- and fourth-generation cephalosporins 
MS1,Member State 1,2019,ESCCOL,POL,animals,0.362588769,0,807,0,E. coli,polymyxins
MS1,Member State 1,2019,ESCCOL,AMP,animals,8.788195103,175,807,0.21685254,E. coli,aminopenicillins
MS19,Member State 19,2019,ESCCOL,TET,animals,0.074612896,26,1013,0.025666338,E. coli,tetracyclines
MS19,Member State 19,2019,ESCCOL,QALL,animals,0.0355202,41,1013,0.04047384,E. coli,fluoroquinolones and other quinolones
MS19,Member State 19,2019,ESCCOL,CEPH,animals,0.000248373,0,1013,0,E. coli,third- and fourth-generation cephalosporins 
MS19,Member State 19,2019,ESCCOL,POL,animals,0,0,1013,0,E. coli,polymyxins
MS19,Member State 19,2019,ESCCOL,AMP,animals,0.0651356,42,1013,0.041461007,E. coli,aminopenicillins
MS29,Member State 29,2019,ESCCOL,TET,animals,47.58827549,333,540,0.616666667,E. coli,tetracyclines
MS29,Member State 29,2019,ESCCOL,QALL,animals,9.530318643,280,540,0.518518519,E. coli,fluoroquinolones and other quinolones
MS29,Member State 29,2019,ESCCOL,CEPH,animals,0.326945249,13,540,0.024074074,E. coli,third- and fourth-generation cephalosporins 
MS29,Member State 29,2019,ESCCOL,POL,animals,7.302111445,1,540,0.001851852,E. coli,polymyxins
MS29,Member State 29,2019,ESCCOL,AMP,animals,43.97911167,365,540,0.675925926,E. coli,aminopenicillins
MS18,Member State 18,2019,ESCCOL,TET,animals,58.91205634,484,623,0.776886035,E. coli,tetracyclines
MS18,Member State 18,2019,ESCCOL,QALL,animals,4.357315922,305,623,0.489566613,E. coli,fluoroquinolones and other quinolones
MS18,Member State 18,2019,ESCCOL,CEPH,animals,0.381374004,33,623,0.052969502,E. coli,third- and fourth-generation cephalosporins 
MS18,Member State 18,2019,ESCCOL,POL,animals,14.05790313,40,623,0.064205457,E. coli,polymyxins
MS18,Member State 18,2019,ESCCOL,AMP,animals,50.78611341,449,623,0.72070626,E. coli,aminopenicillins
MS25,Member State 25,2019,ESCCOL,TET,animals,14.70812136,210,358,0.586592179,E. coli,tetracyclines
MS25,Member State 25,2019,ESCCOL,QALL,animals,6.425670137,205,358,0.572625698,E. coli,fluoroquinolones and other quinolones
MS25,Member State 25,2019,ESCCOL,CEPH,animals,0.139680648,11,358,0.030726257,E. coli,third- and fourth-generation cephalosporins 
MS25,Member State 25,2019,ESCCOL,POL,animals,4.135939442,7,358,0.019553073,E. coli,polymyxins
MS25,Member State 25,2019,ESCCOL,AMP,animals,8.154865875,256,358,0.715083799,E. coli,aminopenicillins
MS3,Member State 3,2019,ESCCOL,TET,animals,0.912020942,54,418,0.129186603,E. coli,tetracyclines
MS3,Member State 3,2019,ESCCOL,QALL,animals,0.073432704,12,418,0.028708134,E. coli,fluoroquinolones and other quinolones
MS3,Member State 3,2019,ESCCOL,CEPH,animals,0.001506281,3,418,0.007177033,E. coli,third- and fourth-generation cephalosporins 
MS3,Member State 3,2019,ESCCOL,POL,animals,0.045277586,0,418,0,E. coli,polymyxins
MS3,Member State 3,2019,ESCCOL,AMP,animals,0.261747258,66,418,0.157894737,E. coli,aminopenicillins
MS30,Member State 30,2019,ESCCOL,TET,animals,5.037629733,55,170,0.323529412,E. coli,tetracyclines
MS30,Member State 30,2019,ESCCOL,QALL,animals,2.310314533,104,170,0.611764706,E. coli,fluoroquinolones and other quinolones
MS30,Member State 30,2019,ESCCOL,CEPH,animals,0.179564539,1,170,0.005882353,E. coli,third- and fourth-generation cephalosporins 
MS30,Member State 30,2019,ESCCOL,POL,animals,0.188640495,0,170,0,E. coli,polymyxins
MS30,Member State 30,2019,ESCCOL,AMP,animals,25.01408838,79,170,0.464705882,E. coli,aminopenicillins
MS6,Member State 6,2019,ESCCOL,TET,animals,7.173915749,107,170,0.629411765,E. coli,tetracyclines
MS6,Member State 6,2019,ESCCOL,QALL,animals,3.433775117,81,170,0.476470588,E. coli,fluoroquinolones and other quinolones
MS6,Member State 6,2019,ESCCOL,CEPH,animals,0.560560405,0,170,0,E. coli,third- and fourth-generation cephalosporins 
MS6,Member State 6,2019,ESCCOL,POL,animals,1.319746933,0,170,0,E. coli,polymyxins
MS6,Member State 6,2019,ESCCOL,AMP,animals,6.957558053,111,170,0.652941176,E. coli,aminopenicillins
MS23,Member State 23,2020,ESCCOL,TET,animals,23.67577345,208,514,0.404669261,E. coli,tetracyclines
MS23,Member State 23,2020,ESCCOL,QALL,animals,0.568500201,50,514,0.097276265,E. coli,fluoroquinolones and other quinolones
MS23,Member State 23,2020,ESCCOL,CEPH,animals,0.243603035,3,514,0.005836576,E. coli,third- and fourth-generation cephalosporins 
MS23,Member State 23,2020,ESCCOL,POL,animals,1.981825641,0,514,0,E. coli,polymyxins
MS23,Member State 23,2020,ESCCOL,AMP,animals,5.728003876,130,514,0.252918288,E. coli,aminopenicillins
MS14,Member State 14,2020,ESCCOL,TET,animals,21.29740223,265,607,0.436573311,E. coli,tetracyclines
MS14,Member State 14,2020,ESCCOL,QALL,animals,0.675919623,115,607,0.189456343,E. coli,fluoroquinolones and other quinolones
MS14,Member State 14,2020,ESCCOL,CEPH,animals,0.069614281,17,607,0.02800659,E. coli,third- and fourth-generation cephalosporins 
MS14,Member State 14,2020,ESCCOL,POL,animals,2.007359706,0,607,0,E. coli,polymyxins
MS14,Member State 14,2020,ESCCOL,AMP,animals,41.94356,294,607,0.484349259,E. coli,aminopenicillins
MS22,Member State 22,2020,ESCCOL,TET,animals,70.74129051,132,204,0.647058824,E. coli,tetracyclines
MS22,Member State 22,2020,ESCCOL,QALL,animals,4.878786275,72,204,0.352941176,E. coli,fluoroquinolones and other quinolones
MS22,Member State 22,2020,ESCCOL,CEPH,animals,0.076562714,1,204,0.004901961,E. coli,third- and fourth-generation cephalosporins 
MS22,Member State 22,2020,ESCCOL,POL,animals,3.779669474,3,204,0.014705882,E. coli,polymyxins
MS22,Member State 22,2020,ESCCOL,AMP,animals,25.9426913,115,204,0.56372549,E. coli,aminopenicillins
MS4,Member State 4,2020,ESCCOL,TET,animals,102.9025467,116,133,0.872180451,E. coli,tetracyclines
MS4,Member State 4,2020,ESCCOL,QALL,animals,2.405863074,30,133,0.22556391,E. coli,fluoroquinolones and other quinolones
MS4,Member State 4,2020,ESCCOL,CEPH,animals,0.384465187,4,133,0.030075188,E. coli,third- and fourth-generation cephalosporins 
MS4,Member State 4,2020,ESCCOL,POL,animals,7.874187696,2,133,0.015037594,E. coli,polymyxins
MS4,Member State 4,2020,ESCCOL,AMP,animals,68.06119357,100,133,0.751879699,E. coli,aminopenicillins
MS27,Member State 27,2020,ESCCOL,TET,animals,12.67264464,164,508,0.322834646,E. coli,tetracyclines
MS27,Member State 27,2020,ESCCOL,QALL,animals,1.463925765,138,508,0.271653543,E. coli,fluoroquinolones and other quinolones
MS27,Member State 27,2020,ESCCOL,CEPH,animals,0.391690226,1,508,0.001968504,E. coli,third- and fourth-generation cephalosporins 
MS27,Member State 27,2020,ESCCOL,POL,animals,0.775115316,0,508,0,E. coli,polymyxins
MS27,Member State 27,2020,ESCCOL,AMP,animals,13.78098996,167,508,0.328740157,E. coli,aminopenicillins
MS13,Member State 13,2020,ESCCOL,TET,animals,15.93730603,328,890,0.368539326,E. coli,tetracyclines
MS13,Member State 13,2020,ESCCOL,QALL,animals,0.889832841,159,890,0.178651685,E. coli,fluoroquinolones and other quinolones
MS13,Member State 13,2020,ESCCOL,CEPH,animals,0.173166446,29,890,0.03258427,E. coli,third- and fourth-generation cephalosporins 
MS13,Member State 13,2020,ESCCOL,POL,animals,9.669935969,23,890,0.025842697,E. coli,polymyxins
MS13,Member State 13,2020,ESCCOL,AMP,animals,17.80155339,346,890,0.388764045,E. coli,aminopenicillins
MS9,Member State 9,2020,ESCCOL,TET,animals,6.550986767,164,534,0.307116105,E. coli,tetracyclines
MS9,Member State 9,2020,ESCCOL,QALL,animals,0.214522315,26,534,0.048689139,E. coli,fluoroquinolones and other quinolones
MS9,Member State 9,2020,ESCCOL,CEPH,animals,0.002311813,0,534,0,E. coli,third- and fourth-generation cephalosporins 
MS9,Member State 9,2020,ESCCOL,POL,animals,0.000322072,0,534,0,E. coli,polymyxins
MS9,Member State 9,2020,ESCCOL,AMP,animals,5.28099078,180,534,0.337078652,E. coli,aminopenicillins
MS10,Member State 10,2020,ESCCOL,TET,animals,11.54772839,48,153,0.31372549,E. coli,tetracyclines
MS10,Member State 10,2020,ESCCOL,QALL,animals,0.787273259,16,153,0.104575163,E. coli,fluoroquinolones and other quinolones
MS10,Member State 10,2020,ESCCOL,CEPH,animals,0.647622202,2,153,0.013071895,E. coli,third- and fourth-generation cephalosporins 
MS10,Member State 10,2020,ESCCOL,POL,animals,0.285117012,0,153,0,E. coli,polymyxins
MS10,Member State 10,2020,ESCCOL,AMP,animals,9.5022168,41,153,0.267973856,E. coli,aminopenicillins
MS26,Member State 26,2020,ESCCOL,TET,animals,43.46250165,223,316,0.705696203,E. coli,tetracyclines
MS26,Member State 26,2020,ESCCOL,QALL,animals,3.945125002,156,316,0.493670886,E. coli,fluoroquinolones and other quinolones
MS26,Member State 26,2020,ESCCOL,CEPH,animals,0.104515456,4,316,0.012658228,E. coli,third- and fourth-generation cephalosporins 
MS26,Member State 26,2020,ESCCOL,POL,animals,2.10580488,10,316,0.03164557,E. coli,polymyxins
MS26,Member State 26,2020,ESCCOL,AMP,animals,19.59305051,216,316,0.683544304,E. coli,aminopenicillins
MS20,Member State 20,2020,ESCCOL,TET,animals,33.15532277,476,680,0.7,E. coli,tetracyclines
MS20,Member State 20,2020,ESCCOL,QALL,animals,2.961149947,346,680,0.508823529,E. coli,fluoroquinolones and other quinolones
MS20,Member State 20,2020,ESCCOL,CEPH,animals,0.219088843,12,680,0.017647059,E. coli,third- and fourth-generation cephalosporins 
MS20,Member State 20,2020,ESCCOL,POL,animals,0.48823962,3,680,0.004411765,E. coli,polymyxins
MS20,Member State 20,2020,ESCCOL,AMP,animals,43.72755521,454,680,0.667647059,E. coli,aminopenicillins
MS17,Member State 17,2020,ESCCOL,TET,animals,5.675762385,47,344,0.136627907,E. coli,tetracyclines
MS17,Member State 17,2020,ESCCOL,QALL,animals,0.13935894,5,344,0.014534884,E. coli,fluoroquinolones and other quinolones
MS17,Member State 17,2020,ESCCOL,CEPH,animals,0.000378552,0,344,0,E. coli,third- and fourth-generation cephalosporins 
MS17,Member State 17,2020,ESCCOL,POL,animals,0,0,344,0,E. coli,polymyxins
MS17,Member State 17,2020,ESCCOL,AMP,animals,0.483245281,29,344,0.084302326,E. coli,aminopenicillins
MS12,Member State 12,2020,ESCCOL,TET,animals,25.93967829,367,734,0.5,E. coli,tetracyclines
MS12,Member State 12,2020,ESCCOL,QALL,animals,0.37384962,86,734,0.117166213,E. coli,fluoroquinolones and other quinolones
MS12,Member State 12,2020,ESCCOL,CEPH,animals,0.013861515,8,734,0.010899183,E. coli,third- and fourth-generation cephalosporins 
MS12,Member State 12,2020,ESCCOL,POL,animals,1.9960694,5,734,0.006811989,E. coli,polymyxins
MS12,Member State 12,2020,ESCCOL,AMP,animals,4.608864426,260,734,0.354223433,E. coli,aminopenicillins
MS7,Member State 7,2020,ESCCOL,TET,animals,17.26810778,107,254,0.421259843,E. coli,tetracyclines
MS7,Member State 7,2020,ESCCOL,QALL,animals,2.866358612,60,254,0.236220472,E. coli,fluoroquinolones and other quinolones
MS7,Member State 7,2020,ESCCOL,CEPH,animals,0.314526495,3,254,0.011811024,E. coli,third- and fourth-generation cephalosporins 
MS7,Member State 7,2020,ESCCOL,POL,animals,1.95304752,0,254,0,E. coli,polymyxins
MS7,Member State 7,2020,ESCCOL,AMP,animals,17.88770483,101,254,0.397637795,E. coli,aminopenicillins
MS21,Member State 21,2020,ESCCOL,TET,animals,34.03209607,266,510,0.521568627,E. coli,tetracyclines
MS21,Member State 21,2020,ESCCOL,QALL,animals,11.22169148,199,510,0.390196078,E. coli,fluoroquinolones and other quinolones
MS21,Member State 21,2020,ESCCOL,CEPH,animals,0.376596801,13,510,0.025490196,E. coli,third- and fourth-generation cephalosporins 
MS21,Member State 21,2020,ESCCOL,POL,animals,7.591932736,5,510,0.009803922,E. coli,polymyxins
MS21,Member State 21,2020,ESCCOL,AMP,animals,77.4105181,249,510,0.488235294,E. coli,aminopenicillins
MS5,Member State 5,2020,ESCCOL,TET,animals,22.53707204,167,340,0.491176471,E. coli,tetracyclines
MS5,Member State 5,2020,ESCCOL,QALL,animals,0.392703599,21,340,0.061764706,E. coli,fluoroquinolones and other quinolones
MS5,Member State 5,2020,ESCCOL,CEPH,animals,0.132051356,5,340,0.014705882,E. coli,third- and fourth-generation cephalosporins 
MS5,Member State 5,2020,ESCCOL,POL,animals,0.00772286,0,340,0,E. coli,polymyxins
MS5,Member State 5,2020,ESCCOL,AMP,animals,7.481692938,130,340,0.382352941,E. coli,aminopenicillins
MS28,Member State 28,2020,ESCCOL,TET,animals,0.310738193,13,99,0.131313131,E. coli,tetracyclines
MS28,Member State 28,2020,ESCCOL,QALL,animals,0.004507388,3,99,0.03030303,E. coli,fluoroquinolones and other quinolones
MS28,Member State 28,2020,ESCCOL,CEPH,animals,0.001150212,0,99,0,E. coli,third- and fourth-generation cephalosporins 
MS28,Member State 28,2020,ESCCOL,POL,animals,0,0,99,0,E. coli,polymyxins
MS28,Member State 28,2020,ESCCOL,AMP,animals,0.360779955,12,99,0.121212121,E. coli,aminopenicillins
MS16,Member State 16,2020,ESCCOL,TET,animals,63.48391114,436,678,0.643067847,E. coli,tetracyclines
MS16,Member State 16,2020,ESCCOL,QALL,animals,3.017654912,246,678,0.362831858,E. coli,fluoroquinolones and other quinolones
MS16,Member State 16,2020,ESCCOL,CEPH,animals,0.188167166,6,678,0.008849558,E. coli,third- and fourth-generation cephalosporins 
MS16,Member State 16,2020,ESCCOL,POL,animals,0.902755709,3,678,0.004424779,E. coli,polymyxins
MS16,Member State 16,2020,ESCCOL,AMP,animals,102.0139234,435,678,0.64159292,E. coli,aminopenicillins
MS15,Member State 15,2020,ESCCOL,TET,animals,2.042263975,75,199,0.376884422,E. coli,tetracyclines
MS15,Member State 15,2020,ESCCOL,QALL,animals,1.384155097,84,199,0.422110553,E. coli,fluoroquinolones and other quinolones
MS15,Member State 15,2020,ESCCOL,CEPH,animals,0.269442798,3,199,0.015075377,E. coli,third- and fourth-generation cephalosporins 
MS15,Member State 15,2020,ESCCOL,POL,animals,0.279688242,0,199,0,E. coli,polymyxins
MS15,Member State 15,2020,ESCCOL,AMP,animals,7.140883466,123,199,0.618090452,E. coli,aminopenicillins
MS24,Member State 24,2020,ESCCOL,TET,animals,21.88984571,17,39,0.435897436,E. coli,tetracyclines
MS24,Member State 24,2020,ESCCOL,QALL,animals,0.75908732,9,39,0.230769231,E. coli,fluoroquinolones and other quinolones
MS24,Member State 24,2020,ESCCOL,CEPH,animals,0.490741261,0,39,0,E. coli,third- and fourth-generation cephalosporins 
MS24,Member State 24,2020,ESCCOL,POL,animals,0.420811975,0,39,0,E. coli,polymyxins
MS24,Member State 24,2020,ESCCOL,AMP,animals,2.942938116,18,39,0.461538462,E. coli,aminopenicillins
MS11,Member State 11,2020,ESCCOL,TET,animals,11.65490456,90,302,0.298013245,E. coli,tetracyclines
MS11,Member State 11,2020,ESCCOL,QALL,animals,0.814332951,85,302,0.281456954,E. coli,fluoroquinolones and other quinolones
MS11,Member State 11,2020,ESCCOL,CEPH,animals,0.541089732,2,302,0.006622517,E. coli,third- and fourth-generation cephalosporins 
MS11,Member State 11,2020,ESCCOL,POL,animals,0.39611642,0,302,0,E. coli,polymyxins
MS11,Member State 11,2020,ESCCOL,AMP,animals,6.703251793,89,302,0.294701987,E. coli,aminopenicillins
