ReportingCountry,country_name,Year,Pathogen,Class,DID_TOTAL,NS,Tested,PR_h,pathogen_name,class_name
MS26,Member State 26,2015,ESCCOL,AMP,9.205623805,612,1079,0.567191844,E. coli,aminopenicillins
MS26,Member State 26,2015,SLMSPP,AMP,10.82076246,42,514,0.081712062,Salmonella spp.,aminopenicillins
MS17,Member State 17,2015,ESCCOL,AMP,3.086184265,944,2472,0.381877023,E. coli,aminopenicillins
MS17,Member State 17,2015,SLMSPP,AMP,2.573058907,55,313,0.17571885,Salmonella spp.,aminopenicillins
MS12,Member State 12,2015,ESCCOL,AMP,10.64340308,6445,10946,0.588799561,E. coli,aminopenicillins
MS12,Member State 12,2015,SLMSPP,AMP,9.860553486,222,724,0.306629834,Salmonella spp.,aminopenicillins
MS7,Member State 7,2015,ESCCOL,AMP,8.706799268,594,1042,0.570057582,E. coli,aminopenicillins
MS21,Member State 21,2015,ESCCOL,AMP,5.202446767,1189,1970,0.603553299,E. coli,aminopenicillins
MS21,Member State 21,2015,SLMSPP,AMP,3.662913158,310,813,0.381303813,Salmonella spp.,aminopenicillins
MS5,Member State 5,2015,ESCCOL,AMP,5.942137165,1740,2646,0.657596372,E. coli,aminopenicillins
MS5,Member State 5,2015,SLMSPP,AMP,8.306882936,67,198,0.338383838,Salmonella spp.,aminopenicillins
MS16,Member State 16,2015,ESCCOL,AMP,9.804982187,2273,3385,0.671491876,E. coli,aminopenicillins
MS16,Member State 16,2015,SLMSPP,AMP,8.395228889,47,71,0.661971831,Salmonella spp.,aminopenicillins
MS15,Member State 15,2015,ESCCOL,AMP,8.370864538,369,582,0.634020619,E. coli,aminopenicillins
MS15,Member State 15,2015,SLMSPP,AMP,6.650852684,256,938,0.272921109,Salmonella spp.,aminopenicillins
MS24,Member State 24,2015,ESCCOL,AMP,9.29973232,196,347,0.564841499,E. coli,aminopenicillins
MS24,Member State 24,2015,SLMSPP,AMP,10.61272696,36,106,0.339622642,Salmonella spp.,aminopenicillins
MS11,Member State 11,2015,ESCCOL,AMP,5.078862977,110,192,0.572916667,E. coli,aminopenicillins
MS11,Member State 11,2015,SLMSPP,AMP,4.347271089,3,24,0.125,Salmonella spp.,aminopenicillins
MS8,Member State 8,2015,ESCCOL,AMP,4.899742699,134,238,0.56302521,E. coli,aminopenicillins
MS8,Member State 8,2015,SLMSPP,AMP,7.930410982,36,142,0.253521127,Salmonella spp.,aminopenicillins
MS1,Member State 1,2015,ESCCOL,AMP,1.858342385,3562,7070,0.503818953,E. coli,aminopenicillins
MS1,Member State 1,2015,SLMSPP,AMP,3.532402207,229,787,0.290978399,Salmonella spp.,aminopenicillins
MS19,Member State 19,2015,ESCCOL,AMP,0.782931076,1544,3299,0.468020612,E. coli,aminopenicillins
MS19,Member State 19,2015,SLMSPP,AMP,1.348661886,58,350,0.165714286,Salmonella spp.,aminopenicillins
MS29,Member State 29,2015,ESCCOL,AMP,6.76116496,225,346,0.650289017,E. coli,aminopenicillins
MS18,Member State 18,2015,ESCCOL,AMP,7.234439705,2993,5177,0.578134054,E. coli,aminopenicillins
MS18,Member State 18,2015,SLMSPP,AMP,8.182726361,72,141,0.510638298,Salmonella spp.,aminopenicillins
MS25,Member State 25,2015,ESCCOL,AMP,15.61789468,198,259,0.764478764,E. coli,aminopenicillins
MS25,Member State 25,2015,SLMSPP,AMP,8.154300126,45,177,0.254237288,Salmonella spp.,aminopenicillins
MS30,Member State 30,2015,ESCCOL,AMP,5.995096251,719,1326,0.542232278,E. coli,aminopenicillins
MS30,Member State 30,2015,SLMSPP,AMP,5.814949122,54,390,0.138461538,Salmonella spp.,aminopenicillins
MS6,Member State 6,2015,ESCCOL,AMP,5.606575699,575,878,0.654897494,E. coli,aminopenicillins
MS6,Member State 6,2015,SLMSPP,AMP,5.117350399,47,775,0.060645161,Salmonella spp.,aminopenicillins
MS14,Member State 14,2016,ESCCOL,AMP,8.240835717,2191,3736,0.586456103,E. coli,aminopenicillins
MS14,Member State 14,2016,SLMSPP,AMP,18.93167834,435,982,0.442973523,Salmonella spp.,aminopenicillins
MS22,Member State 22,2016,ESCCOL,AMP,3.370270597,147,186,0.790322581,E. coli,aminopenicillins
MS4,Member State 4,2016,ESCCOL,AMP,10.50506431,102,149,0.684563758,E. coli,aminopenicillins
MS4,Member State 4,2016,SLMSPP,AMP,6.801407701,28,106,0.264150943,Salmonella spp.,aminopenicillins
MS13,Member State 13,2016,ESCCOL,AMP,1.803326818,9341,15957,0.585385724,E. coli,aminopenicillins
MS13,Member State 13,2016,SLMSPP,AMP,2.819113041,856,2008,0.426294821,Salmonella spp.,aminopenicillins
MS9,Member State 9,2016,ESCCOL,AMP,3.081627363,2204,4698,0.469135802,E. coli,aminopenicillins
MS9,Member State 9,2016,SLMSPP,AMP,2.265718351,144,336,0.428571429,Salmonella spp.,aminopenicillins
MS10,Member State 10,2016,ESCCOL,AMP,2.417014969,210,471,0.445859873,E. coli,aminopenicillins
MS10,Member State 10,2016,SLMSPP,AMP,2.962548632,78,203,0.384236453,Salmonella spp.,aminopenicillins
MS26,Member State 26,2016,ESCCOL,AMP,9.205920904,681,1170,0.582051282,E. coli,aminopenicillins
MS26,Member State 26,2016,SLMSPP,AMP,8.4806263,18,251,0.071713147,Salmonella spp.,aminopenicillins
MS20,Member State 20,2016,ESCCOL,AMP,18.52481825,4486,6795,0.660191317,E. coli,aminopenicillins
MS20,Member State 20,2016,SLMSPP,AMP,25.04256509,486,1419,0.342494715,Salmonella spp.,aminopenicillins
MS17,Member State 17,2016,ESCCOL,AMP,2.279287658,966,2690,0.359107807,E. coli,aminopenicillins
MS17,Member State 17,2016,SLMSPP,AMP,3.657696409,67,240,0.279166667,Salmonella spp.,aminopenicillins
MS12,Member State 12,2016,ESCCOL,AMP,10.96304524,6508,11248,0.57859175,E. coli,aminopenicillins
MS12,Member State 12,2016,SLMSPP,AMP,17.17808648,237,852,0.278169014,Salmonella spp.,aminopenicillins
MS7,Member State 7,2016,ESCCOL,AMP,8.051990537,606,1043,0.581016299,E. coli,aminopenicillins
MS21,Member State 21,2016,ESCCOL,AMP,4.257831299,1118,1969,0.567800914,E. coli,aminopenicillins
MS21,Member State 21,2016,SLMSPP,AMP,5.234186663,297,417,0.712230216,Salmonella spp.,aminopenicillins
MS5,Member State 5,2016,ESCCOL,AMP,12.67324835,2047,2990,0.684615385,E. coli,aminopenicillins
MS5,Member State 5,2016,SLMSPP,AMP,10.73540202,67,214,0.313084112,Salmonella spp.,aminopenicillins
MS16,Member State 16,2016,ESCCOL,AMP,10.27895626,2073,3114,0.665703276,E. coli,aminopenicillins
MS16,Member State 16,2016,SLMSPP,AMP,12.52798074,32,66,0.484848485,Salmonella spp.,aminopenicillins
MS15,Member State 15,2016,ESCCOL,AMP,5.390599013,471,794,0.593198992,E. coli,aminopenicillins
MS15,Member State 15,2016,SLMSPP,AMP,7.399943369,231,1020,0.226470588,Salmonella spp.,aminopenicillins
MS24,Member State 24,2016,ESCCOL,AMP,10.61322517,208,419,0.496420048,E. coli,aminopenicillins
MS24,Member State 24,2016,SLMSPP,AMP,9.562680767,33,105,0.314285714,Salmonella spp.,aminopenicillins
MS11,Member State 11,2016,ESCCOL,AMP,4.031470583,137,247,0.55465587,E. coli,aminopenicillins
MS11,Member State 11,2016,SLMSPP,AMP,4.520990703,5,26,0.192307692,Salmonella spp.,aminopenicillins
MS8,Member State 8,2016,ESCCOL,AMP,5.396279787,196,328,0.597560976,E. coli,aminopenicillins
MS8,Member State 8,2016,SLMSPP,AMP,6.676697995,46,180,0.255555556,Salmonella spp.,aminopenicillins
MS1,Member State 1,2016,ESCCOL,AMP,2.416410207,3503,7246,0.483439139,E. coli,aminopenicillins
MS1,Member State 1,2016,SLMSPP,AMP,2.460707705,272,927,0.293419633,Salmonella spp.,aminopenicillins
MS19,Member State 19,2016,ESCCOL,AMP,0.738855992,1545,3615,0.427385892,E. coli,aminopenicillins
MS19,Member State 19,2016,SLMSPP,AMP,1.051943881,38,222,0.171171171,Salmonella spp.,aminopenicillins
MS29,Member State 29,2016,ESCCOL,AMP,7.304709519,709,1034,0.685686654,E. coli,aminopenicillins
MS18,Member State 18,2016,ESCCOL,AMP,6.933351773,3412,5772,0.591129591,E. coli,aminopenicillins
MS18,Member State 18,2016,SLMSPP,AMP,8.906312844,154,309,0.498381877,Salmonella spp.,aminopenicillins
MS25,Member State 25,2016,ESCCOL,AMP,9.122507663,281,376,0.747340426,E. coli,aminopenicillins
MS25,Member State 25,2016,SLMSPP,AMP,10.44509511,47,214,0.219626168,Salmonella spp.,aminopenicillins
MS30,Member State 30,2016,ESCCOL,AMP,4.319084499,790,1420,0.556338028,E. coli,aminopenicillins
MS30,Member State 30,2016,SLMSPP,AMP,5.613266025,39,311,0.125401929,Salmonella spp.,aminopenicillins
MS6,Member State 6,2016,ESCCOL,AMP,3.777763612,506,817,0.619339045,E. coli,aminopenicillins
MS6,Member State 6,2016,SLMSPP,AMP,5.772465156,67,790,0.084810127,Salmonella spp.,aminopenicillins
MS14,Member State 14,2017,ESCCOL,AMP,7.392526145,2708,4669,0.579995716,E. coli,aminopenicillins
MS14,Member State 14,2017,SLMSPP,AMP,7.003343049,539,980,0.55,Salmonella spp.,aminopenicillins
MS22,Member State 22,2017,ESCCOL,AMP,5.96008678,151,203,0.743842365,E. coli,aminopenicillins
MS4,Member State 4,2017,ESCCOL,AMP,7.865969723,104,156,0.666666667,E. coli,aminopenicillins
MS4,Member State 4,2017,SLMSPP,AMP,6.103643642,13,76,0.171052632,Salmonella spp.,aminopenicillins
MS13,Member State 13,2017,ESCCOL,AMP,2.435282225,14640,21646,0.67633743,E. coli,aminopenicillins
MS13,Member State 13,2017,SLMSPP,AMP,4.010406173,211,652,0.323619632,Salmonella spp.,aminopenicillins
MS9,Member State 9,2017,ESCCOL,AMP,1.929269445,2278,4885,0.466325486,E. coli,aminopenicillins
MS9,Member State 9,2017,SLMSPP,AMP,1.942180139,124,310,0.4,Salmonella spp.,aminopenicillins
MS10,Member State 10,2017,ESCCOL,AMP,4.26774504,201,439,0.45785877,E. coli,aminopenicillins
MS10,Member State 10,2017,SLMSPP,AMP,3.694026965,21,265,0.079245283,Salmonella spp.,aminopenicillins
MS26,Member State 26,2017,ESCCOL,AMP,5.503015254,773,1306,0.591883614,E. coli,aminopenicillins
MS26,Member State 26,2017,SLMSPP,AMP,10.70385984,102,130,0.784615385,Salmonella spp.,aminopenicillins
MS20,Member State 20,2017,ESCCOL,AMP,10.77044131,3746,5947,0.629897427,E. coli,aminopenicillins
MS20,Member State 20,2017,SLMSPP,AMP,11.85333325,586,1718,0.341094296,Salmonella spp.,aminopenicillins
MS17,Member State 17,2017,ESCCOL,AMP,2.012632915,1019,2874,0.354558107,E. coli,aminopenicillins
MS17,Member State 17,2017,SLMSPP,AMP,3.048803033,51,214,0.238317757,Salmonella spp.,aminopenicillins
MS12,Member State 12,2017,ESCCOL,AMP,21.36213781,7436,13293,0.559392161,E. coli,aminopenicillins
MS12,Member State 12,2017,SLMSPP,AMP,14.69756432,306,870,0.351724138,Salmonella spp.,aminopenicillins
MS7,Member State 7,2017,ESCCOL,AMP,11.48611415,674,1135,0.593832599,E. coli,aminopenicillins
MS21,Member State 21,2017,ESCCOL,AMP,4.419137269,1207,2021,0.597229095,E. coli,aminopenicillins
MS21,Member State 21,2017,SLMSPP,AMP,4.14741705,282,448,0.629464286,Salmonella spp.,aminopenicillins
MS5,Member State 5,2017,ESCCOL,AMP,8.746970876,2108,2991,0.70478101,E. coli,aminopenicillins
MS5,Member State 5,2017,SLMSPP,AMP,5.726006955,90,272,0.330882353,Salmonella spp.,aminopenicillins
MS28,Member State 28,2017,ESCCOL,AMP,4.054589212,90,213,0.422535211,E. coli,aminopenicillins
MS28,Member State 28,2017,SLMSPP,AMP,2.880996427,15,31,0.483870968,Salmonella spp.,aminopenicillins
MS16,Member State 16,2017,ESCCOL,AMP,5.766603258,2765,4078,0.678028445,E. coli,aminopenicillins
MS16,Member State 16,2017,SLMSPP,AMP,8.355282362,150,423,0.354609929,Salmonella spp.,aminopenicillins
MS15,Member State 15,2017,ESCCOL,AMP,7.14233166,489,845,0.578698225,E. coli,aminopenicillins
MS15,Member State 15,2017,SLMSPP,AMP,6.47136417,172,947,0.181626188,Salmonella spp.,aminopenicillins
MS24,Member State 24,2017,ESCCOL,AMP,4.60823801,237,433,0.547344111,E. coli,aminopenicillins
MS24,Member State 24,2017,SLMSPP,AMP,5.384997584,34,116,0.293103448,Salmonella spp.,aminopenicillins
MS11,Member State 11,2017,ESCCOL,AMP,4.17922749,126,202,0.623762376,E. coli,aminopenicillins
MS11,Member State 11,2017,SLMSPP,AMP,5.936337593,8,22,0.363636364,Salmonella spp.,aminopenicillins
MS8,Member State 8,2017,ESCCOL,AMP,8.243192099,190,314,0.605095541,E. coli,aminopenicillins
MS8,Member State 8,2017,SLMSPP,AMP,6.500076213,45,111,0.405405405,Salmonella spp.,aminopenicillins
MS1,Member State 1,2017,ESCCOL,AMP,1.722099217,3525,7512,0.469249201,E. coli,aminopenicillins
MS1,Member State 1,2017,SLMSPP,AMP,2.326893092,245,767,0.319426336,Salmonella spp.,aminopenicillins
MS19,Member State 19,2017,ESCCOL,AMP,0.591846308,1542,3731,0.413294023,E. coli,aminopenicillins
MS19,Member State 19,2017,SLMSPP,AMP,0.745349976,64,297,0.215488215,Salmonella spp.,aminopenicillins
MS29,Member State 29,2017,ESCCOL,AMP,6.259877372,643,913,0.704271632,E. coli,aminopenicillins
MS29,Member State 29,2017,SLMSPP,AMP,8.604342945,117,686,0.170553936,Salmonella spp.,aminopenicillins
MS18,Member State 18,2017,ESCCOL,AMP,9.807985651,3542,6245,0.567173739,E. coli,aminopenicillins
MS18,Member State 18,2017,SLMSPP,AMP,8.494138293,142,362,0.392265193,Salmonella spp.,aminopenicillins
MS25,Member State 25,2017,ESCCOL,AMP,9.61032265,331,494,0.670040486,E. coli,aminopenicillins
MS25,Member State 25,2017,SLMSPP,AMP,9.082068858,34,133,0.255639098,Salmonella spp.,aminopenicillins
MS3,Member State 3,2017,SLMSPP,AMP,0.608449415,0,3,0,Salmonella spp.,aminopenicillins
MS30,Member State 30,2017,ESCCOL,AMP,5.137583274,757,1435,0.527526132,E. coli,aminopenicillins
MS30,Member State 30,2017,SLMSPP,AMP,7.142502287,62,275,0.225454545,Salmonella spp.,aminopenicillins
MS6,Member State 6,2017,ESCCOL,AMP,3.511572814,555,853,0.650644783,E. coli,aminopenicillins
MS6,Member State 6,2017,SLMSPP,AMP,3.027733756,83,858,0.096736597,Salmonella spp.,aminopenicillins
MS14,Member State 14,2018,ESCCOL,AMP,10.32015053,2549,4445,0.573453318,E. coli,aminopenicillins
MS14,Member State 14,2018,SLMSPP,AMP,10.97100594,541,904,0.598451327,Salmonella spp.,aminopenicillins
MS22,Member State 22,2018,ESCCOL,AMP,7.785937385,200,287,0.696864111,E. coli,aminopenicillins
MS4,Member State 4,2018,ESCCOL,AMP,7.230016176,89,151,0.589403974,E. coli,aminopenicillins
MS4,Member State 4,2018,SLMSPP,AMP,7.825644978,27,99,0.272727273,Salmonella spp.,aminopenicillins
MS13,Member State 13,2018,ESCCOL,AMP,4.054434513,14367,20841,0.689362315,E. coli,aminopenicillins
MS13,Member State 13,2018,SLMSPP,AMP,2.963579824,907,3722,0.24368619,Salmonella spp.,aminopenicillins
MS9,Member State 9,2018,ESCCOL,AMP,1.866207735,2471,5383,0.459037711,E. coli,aminopenicillins
MS9,Member State 9,2018,SLMSPP,AMP,1.931747092,113,307,0.368078176,Salmonella spp.,aminopenicillins
MS10,Member State 10,2018,ESCCOL,AMP,5.006290509,196,457,0.428884026,E. coli,aminopenicillins
MS10,Member State 10,2018,SLMSPP,AMP,4.636479476,26,269,0.096654275,Salmonella spp.,aminopenicillins
MS26,Member State 26,2018,ESCCOL,AMP,10.98316587,878,1444,0.608033241,E. coli,aminopenicillins
MS20,Member State 20,2018,ESCCOL,AMP,10.70877592,4811,7599,0.63310962,E. coli,aminopenicillins
MS20,Member State 20,2018,SLMSPP,AMP,13.77051062,657,1492,0.440348525,Salmonella spp.,aminopenicillins
MS17,Member State 17,2018,ESCCOL,AMP,3.278391802,1146,3129,0.366251198,E. coli,aminopenicillins
MS17,Member State 17,2018,SLMSPP,AMP,3.665403342,24,113,0.212389381,Salmonella spp.,aminopenicillins
MS12,Member State 12,2018,ESCCOL,AMP,15.63774421,7044,12553,0.561140763,E. coli,aminopenicillins
MS12,Member State 12,2018,SLMSPP,AMP,9.92400913,259,893,0.290033595,Salmonella spp.,aminopenicillins
MS7,Member State 7,2018,ESCCOL,AMP,7.936564071,700,1214,0.57660626,E. coli,aminopenicillins
