"ReportingCountry","country_name","Year","Pathogen","Class","Animal","NS_a","Tested_a","PR_a","NS","Tested","PR_h","pathogen_name","class_name"
"MS23","Member State 23",2020,"CAMJEJ","QALL","broilers",140,177,0.790960451977401,299,397,0.753148614609572,"C. jejuni","fluoroquinolones and other quinolones"
"MS23","Member State 23",2020,"CAMJEJ","QALL","turkeys",51,77,0.662337662337662,302,397,0.760705289672544,"C. jejuni","fluoroquinolones and other quinolones"
"MS23","Member State 23",2021,"SLMSPP","AMP","pig carcasses",5,7,0.714285714285714,118,1052,0.112167300380228,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2020,"SLMSPP","CEPH","SIMR",3,180,0.0166666666666667,8,894,0.00894854586129754,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2021,"CAMCOL","TET","pigs",167,191,0.87434554973822,23,49,0.469387755102041,"C. coli","tetracyclines"
"MS23","Member State 23",2021,"SLMSPP","QALL","pig carcasses",2,7,0.285714285714286,181,1052,0.172053231939163,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2020,"ESCCOL","AMP","broilers",62,170,0.364705882352941,2280,4798,0.475197999166319,"E. coli","aminopenicillins"
"MS23","Member State 23",2020,"SLMSPP","CEPH","turkeys",0,10,0,6,894,0.00671140939597315,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2021,"CAMCOL","MAC","pigs",13,191,0.0680628272251309,0,49,0,"C. coli","macrolides"
"MS23","Member State 23",2021,"SLMSPP","CEPH","SIMR",1,180,0.00555555555555556,4,1052,0.00380228136882129,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2020,"SLMSPP","QALL","broilers",123,170,0.723529411764706,187,894,0.20917225950783,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2021,"ESCCOL","AMP","pigs",29,175,0.165714285714286,2129,4805,0.443080124869927,"E. coli","aminopenicillins"
"MS23","Member State 23",2020,"CAMJEJ","TET","broilers",84,177,0.474576271186441,188,397,0.473551637279597,"C. jejuni","tetracyclines"
"MS23","Member State 23",2019,"SLMSPP","CEPH","SIMR",0,185,0,12,1884,0.00636942675159236,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2019,"ESCCOL","CEPH","pigs",2,174,0.0114942528735632,584,6106,0.0956436292171634,"E. coli","third- and fourth-generation cephalosporins "
"MS23","Member State 23",2020,"CAMJEJ","TET","turkeys",25,77,0.324675324675325,199,397,0.501259445843829,"C. jejuni","tetracyclines"
"MS23","Member State 23",2019,"SLMSPP","QALL","SIMR",121,185,0.654054054054054,726,1884,0.385350318471338,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS23","Member State 23",2019,"SLMSPP","AMP","SIMR",19,185,0.102702702702703,225,1884,0.119426751592357,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2019,"ESCCOL","QALL","pigs",3,174,0.0172413793103448,1159,6111,0.189657993781705,"E. coli","fluoroquinolones and other quinolones"
"MS23","Member State 23",2019,"SLMSPP","TET","SIMR",126,185,0.681081081081081,256,1884,0.13588110403397,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2020,"SLMSPP","AMP","broilers",6,170,0.0352941176470588,126,894,0.140939597315436,"Salmonella spp.","aminopenicillins"
"MS23","Member State 23",2020,"SLMSPP","TET","turkeys",2,10,0.2,113,894,0.126398210290828,"Salmonella spp.","tetracyclines"
"MS23","Member State 23",2020,"CAMJEJ","MAC","broilers",0,177,0,0,397,0,"C. jejuni","macrolides"
"MS23","Member State 23",2021,"SLMSPP","CEPH","pig carcasses",0,7,0,5,1052,0.00475285171102662,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"SLMSPP","CEPH","SIMR",0,267,0,8,706,0.0113314447592068,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2019,"SLMSPP","TET","SIMR",145,283,0.512367491166078,381,986,0.386409736308316,"Salmonella spp.","tetracyclines"
"MS14","Member State 14",2021,"SLMSPP","TET","pig carcasses",17,45,0.377777777777778,261,747,0.349397590361446,"Salmonella spp.","tetracyclines"
"MS14","Member State 14",2020,"SLMSPP","TET","broilers",37,164,0.225609756097561,286,706,0.405099150141643,"Salmonella spp.","tetracyclines"
"MS14","Member State 14",2020,"ESCCOL","CEPH","turkeys",8,95,0.0842105263157895,486,4320,0.1125,"E. coli","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2019,"SLMSPP","CEPH","pig carcasses",0,103,0,6,986,0.00608519269776876,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"SLMSPP","AMP","SIMR",129,267,0.48314606741573,311,706,0.440509915014164,"Salmonella spp.","aminopenicillins"
"MS14","Member State 14",2020,"SLMSPP","CEPH","broilers",0,164,0,6,706,0.0084985835694051,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"ESCCOL","QALL","broilers",79,165,0.478787878787879,899,4320,0.208101851851852,"E. coli","fluoroquinolones and other quinolones"
"MS14","Member State 14",2020,"SLMSPP","QALL","turkeys",0,3,0,127,706,0.179886685552408,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS14","Member State 14",2019,"SLMSPP","CEPH","SIMR",0,283,0,10,986,0.0101419878296146,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2021,"SLMSPP","CEPH","SIMR",0,209,0,1,747,0.00133868808567604,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2021,"ESCCOL","QALL","calves",44,173,0.254335260115607,1024,4721,0.216903198474899,"E. coli","fluoroquinolones and other quinolones"
"MS14","Member State 14",2020,"SLMSPP","QALL","SIMR",28,267,0.104868913857678,128,706,0.181303116147309,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS14","Member State 14",2019,"ESCCOL","CEPH","pigs",0,175,0,417,3937,0.105918211836424,"E. coli","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2019,"SLMSPP","AMP","SIMR",148,283,0.522968197879859,465,986,0.471602434077079,"Salmonella spp.","aminopenicillins"
"MS14","Member State 14",2021,"SLMSPP","AMP","pig carcasses",21,45,0.466666666666667,350,747,0.468540829986613,"Salmonella spp.","aminopenicillins"
"MS14","Member State 14",2019,"ESCCOL","QALL","pigs",15,175,0.0857142857142857,874,3925,0.222675159235669,"E. coli","fluoroquinolones and other quinolones"
"MS14","Member State 14",2020,"SLMSPP","AMP","turkeys",1,3,0.333333333333333,302,706,0.427762039660057,"Salmonella spp.","aminopenicillins"
"MS14","Member State 14",2020,"ESCCOL","AMP","turkeys",70,95,0.736842105263158,2276,4009,0.567722624095784,"E. coli","aminopenicillins"
"MS14","Member State 14",2019,"SLMSPP","TET","pig carcasses",41,103,0.398058252427184,404,986,0.40973630831643,"Salmonella spp.","tetracyclines"
"MS14","Member State 14",2021,"ESCCOL","AMP","calves",78,173,0.450867052023121,2357,4389,0.537024379129642,"E. coli","aminopenicillins"
"MS14","Member State 14",2019,"SLMSPP","QALL","SIMR",37,283,0.130742049469965,261,986,0.264705882352941,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS14","Member State 14",2021,"SLMSPP","QALL","pig carcasses",2,45,0.0444444444444444,82,747,0.109772423025435,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS14","Member State 14",2019,"ESCCOL","CEPH","calves",2,172,0.0116279069767442,419,3937,0.106426212852426,"E. coli","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2019,"SLMSPP","AMP","pig carcasses",58,103,0.563106796116505,458,986,0.464503042596349,"Salmonella spp.","aminopenicillins"
"MS14","Member State 14",2021,"SLMSPP","AMP","SIMR",93,209,0.444976076555024,317,747,0.424364123159304,"Salmonella spp.","aminopenicillins"
"MS14","Member State 14",2021,"ESCCOL","CEPH","pigs",0,170,0,436,4721,0.0923533149756408,"E. coli","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"SLMSPP","QALL","broilers",56,164,0.341463414634146,138,706,0.195467422096317,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS14","Member State 14",2021,"SLMSPP","CEPH","pig carcasses",0,45,0,1,747,0.00133868808567604,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"SLMSPP","CEPH","turkeys",0,3,0,7,706,0.00991501416430595,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"SLMSPP","AMP","broilers",59,164,0.359756097560976,296,706,0.419263456090652,"Salmonella spp.","aminopenicillins"
"MS14","Member State 14",2020,"ESCCOL","AMP","broilers",138,165,0.836363636363636,2221,4009,0.554003492142679,"E. coli","aminopenicillins"
"MS14","Member State 14",2021,"ESCCOL","QALL","pigs",7,170,0.0411764705882353,982,4721,0.208006778224952,"E. coli","fluoroquinolones and other quinolones"
"MS14","Member State 14",2019,"ESCCOL","QALL","calves",38,172,0.22093023255814,855,3925,0.217834394904459,"E. coli","fluoroquinolones and other quinolones"
"MS14","Member State 14",2021,"ESCCOL","CEPH","calves",4,173,0.023121387283237,402,4721,0.0851514509637789,"E. coli","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"SLMSPP","TET","turkeys",2,3,0.666666666666667,250,706,0.354107648725212,"Salmonella spp.","tetracyclines"
"MS14","Member State 14",2020,"ESCCOL","CEPH","broilers",13,165,0.0787878787878788,441,4320,0.102083333333333,"E. coli","third- and fourth-generation cephalosporins "
"MS14","Member State 14",2020,"SLMSPP","TET","SIMR",104,267,0.389513108614232,275,706,0.389518413597734,"Salmonella spp.","tetracyclines"
"MS14","Member State 14",2019,"ESCCOL","AMP","pigs",82,175,0.468571428571429,2064,3601,0.573174118300472,"E. coli","aminopenicillins"
"MS14","Member State 14",2021,"ESCCOL","AMP","pigs",52,170,0.305882352941176,2417,4389,0.550694919115972,"E. coli","aminopenicillins"
"MS14","Member State 14",2019,"SLMSPP","QALL","pig carcasses",2,103,0.0194174757281553,243,986,0.246450304259635,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS14","Member State 14",2021,"SLMSPP","QALL","SIMR",17,209,0.0813397129186603,80,747,0.107095046854083,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS14","Member State 14",2019,"ESCCOL","AMP","calves",120,172,0.697674418604651,2004,3601,0.556512079977784,"E. coli","aminopenicillins"
"MS14","Member State 14",2020,"ESCCOL","QALL","turkeys",30,95,0.315789473684211,911,4320,0.21087962962963,"E. coli","fluoroquinolones and other quinolones"
"MS14","Member State 14",2021,"SLMSPP","TET","SIMR",66,209,0.315789473684211,268,747,0.358768406961178,"Salmonella spp.","tetracyclines"
"MS22","Member State 22",2021,"SLMSPP","AMP","pig carcasses",7,14,0.5,0,1,0,"Salmonella spp.","aminopenicillins"
"MS22","Member State 22",2021,"ESCCOL","AMP","pigs",57,100,0.57,167,263,0.634980988593156,"E. coli","aminopenicillins"
"MS22","Member State 22",2021,"SLMSPP","AMP","SIMR",4,14,0.285714285714286,0,1,0,"Salmonella spp.","aminopenicillins"
"MS22","Member State 22",2019,"ESCCOL","CEPH","pigs",0,104,0,155,352,0.440340909090909,"E. coli","third- and fourth-generation cephalosporins "
"MS22","Member State 22",2021,"ESCCOL","CEPH","pigs",2,100,0.02,98,263,0.372623574144487,"E. coli","third- and fourth-generation cephalosporins "
"MS22","Member State 22",2020,"ESCCOL","QALL","broilers",72,100,0.72,124,261,0.475095785440613,"E. coli","fluoroquinolones and other quinolones"
"MS22","Member State 22",2019,"ESCCOL","AMP","pigs",63,104,0.605769230769231,223,352,0.633522727272727,"E. coli","aminopenicillins"
"MS22","Member State 22",2021,"ESCCOL","QALL","pigs",26,100,0.26,98,263,0.372623574144487,"E. coli","fluoroquinolones and other quinolones"
"MS22","Member State 22",2019,"ESCCOL","QALL","pigs",18,104,0.173076923076923,125,352,0.355113636363636,"E. coli","fluoroquinolones and other quinolones"
"MS22","Member State 22",2020,"ESCCOL","CEPH","broilers",0,100,0,110,261,0.421455938697318,"E. coli","third- and fourth-generation cephalosporins "
"MS22","Member State 22",2020,"ESCCOL","AMP","broilers",61,100,0.61,174,261,0.666666666666667,"E. coli","aminopenicillins"
"MS7","Member State 7",2019,"ESCCOL","CEPH","pigs",1,85,0.0117647058823529,182,1085,0.167741935483871,"E. coli","third- and fourth-generation cephalosporins "
"MS7","Member State 7",2021,"ESCCOL","QALL","calves",0,85,0,245,721,0.339805825242718,"E. coli","fluoroquinolones and other quinolones"
"MS7","Member State 7",2021,"ESCCOL","CEPH","calves",0,85,0,146,726,0.201101928374656,"E. coli","third- and fourth-generation cephalosporins "
"MS7","Member State 7",2021,"ESCCOL","AMP","pigs",22,85,0.258823529411765,406,728,0.557692307692308,"E. coli","aminopenicillins"
"MS7","Member State 7",2019,"ESCCOL","AMP","pigs",32,85,0.376470588235294,621,1108,0.560469314079422,"E. coli","aminopenicillins"
"MS7","Member State 7",2021,"ESCCOL","QALL","pigs",9,85,0.105882352941176,267,721,0.370319001386963,"E. coli","fluoroquinolones and other quinolones"
"MS7","Member State 7",2019,"ESCCOL","QALL","calves",4,84,0.0476190476190476,320,1108,0.288808664259928,"E. coli","fluoroquinolones and other quinolones"
"MS7","Member State 7",2019,"ESCCOL","QALL","pigs",12,85,0.141176470588235,326,1108,0.294223826714801,"E. coli","fluoroquinolones and other quinolones"
"MS7","Member State 7",2021,"ESCCOL","AMP","calves",11,85,0.129411764705882,397,728,0.54532967032967,"E. coli","aminopenicillins"
"MS7","Member State 7",2019,"ESCCOL","CEPH","calves",0,84,0,205,1085,0.188940092165899,"E. coli","third- and fourth-generation cephalosporins "
"MS7","Member State 7",2021,"ESCCOL","CEPH","pigs",0,85,0,144,726,0.198347107438017,"E. coli","third- and fourth-generation cephalosporins "
"MS7","Member State 7",2020,"ESCCOL","CEPH","broilers",0,85,0,133,827,0.160822249093108,"E. coli","third- and fourth-generation cephalosporins "
"MS7","Member State 7",2020,"ESCCOL","AMP","broilers",34,85,0.4,469,827,0.567110036275695,"E. coli","aminopenicillins"
"MS7","Member State 7",2019,"ESCCOL","AMP","calves",7,84,0.0833333333333333,646,1108,0.583032490974729,"E. coli","aminopenicillins"
"MS7","Member State 7",2020,"ESCCOL","QALL","broilers",50,85,0.588235294117647,277,826,0.335351089588378,"E. coli","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"CAMCOL","QALL","pigs",13,24,0.541666666666667,7,7,1,"C. coli","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"SLMSPP","AMP","SIMR",4,16,0.25,14,75,0.186666666666667,"Salmonella spp.","aminopenicillins"
"MS4","Member State 4",2021,"SLMSPP","CEPH","SIMR",0,16,0,0,75,0,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2019,"SLMSPP","CEPH","SIMR",0,35,0,0,96,0,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2020,"CAMJEJ","TET","broilers",41,74,0.554054054054054,9,17,0.529411764705882,"C. jejuni","tetracyclines"
"MS4","Member State 4",2021,"SLMSPP","QALL","pig carcasses",2,3,0.666666666666667,10,75,0.133333333333333,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS4","Member State 4",2019,"ESCCOL","CEPH","pigs",0,34,0,22,92,0.239130434782609,"E. coli","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2020,"CAMJEJ","QALL","broilers",65,74,0.878378378378378,17,17,1,"C. jejuni","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"ESCCOL","QALL","pigs",3,22,0.136363636363636,100,192,0.520833333333333,"E. coli","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"SLMSPP","AMP","pig carcasses",1,3,0.333333333333333,15,75,0.2,"Salmonella spp.","aminopenicillins"
"MS4","Member State 4",2020,"ESCCOL","CEPH","broilers",6,99,0.0606060606060606,39,114,0.342105263157895,"E. coli","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2021,"SLMSPP","CEPH","pig carcasses",0,3,0,0,75,0,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2019,"ESCCOL","AMP","pigs",26,34,0.764705882352941,64,92,0.695652173913043,"E. coli","aminopenicillins"
"MS4","Member State 4",2020,"SLMSPP","AMP","SIMR",4,16,0.25,27,106,0.254716981132075,"Salmonella spp.","aminopenicillins"
"MS4","Member State 4",2020,"SLMSPP","CEPH","SIMR",0,16,0,0,106,0,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2020,"SLMSPP","QALL","broilers",8,16,0.5,15,105,0.142857142857143,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"ESCCOL","CEPH","pigs",1,22,0.0454545454545455,49,192,0.255208333333333,"E. coli","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2020,"SLMSPP","AMP","turkeys",2,2,1,29,106,0.273584905660377,"Salmonella spp.","aminopenicillins"
"MS4","Member State 4",2020,"SLMSPP","CEPH","broilers",0,16,0,0,106,0,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS4","Member State 4",2019,"ESCCOL","QALL","pigs",4,34,0.117647058823529,51,92,0.554347826086957,"E. coli","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"SLMSPP","QALL","SIMR",7,16,0.4375,16,75,0.213333333333333,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"ESCCOL","AMP","pigs",15,22,0.681818181818182,141,191,0.738219895287958,"E. coli","aminopenicillins"
"MS4","Member State 4",2020,"SLMSPP","AMP","broilers",5,16,0.3125,28,106,0.264150943396226,"Salmonella spp.","aminopenicillins"
"MS4","Member State 4",2020,"ESCCOL","QALL","broilers",88,99,0.888888888888889,56,114,0.491228070175439,"E. coli","fluoroquinolones and other quinolones"
"MS4","Member State 4",2020,"CAMJEJ","MAC","broilers",3,74,0.0405405405405405,0,17,0,"C. jejuni","macrolides"
"MS4","Member State 4",2020,"SLMSPP","QALL","SIMR",4,16,0.25,23,105,0.219047619047619,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS4","Member State 4",2021,"CAMCOL","TET","pigs",21,24,0.875,7,7,1,"C. coli","tetracyclines"
"MS4","Member State 4",2020,"SLMSPP","QALL","turkeys",1,2,0.5,21,105,0.2,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS4","Member State 4",2019,"SLMSPP","QALL","SIMR",33,35,0.942857142857143,11,96,0.114583333333333,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS4","Member State 4",2019,"SLMSPP","AMP","SIMR",7,35,0.2,24,96,0.25,"Salmonella spp.","aminopenicillins"
"MS4","Member State 4",2021,"CAMCOL","MAC","pigs",16,24,0.666666666666667,0,7,0,"C. coli","macrolides"
"MS4","Member State 4",2020,"ESCCOL","AMP","broilers",81,99,0.818181818181818,79,114,0.692982456140351,"E. coli","aminopenicillins"
"MS4","Member State 4",2020,"SLMSPP","CEPH","turkeys",0,2,0,1,106,0.00943396226415094,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS27","Member State 27",2019,"ESCCOL","CEPH","pigs",3,313,0.00958466453674121,605,3557,0.170087152094462,"E. coli","third- and fourth-generation cephalosporins "
"MS27","Member State 27",2021,"ESCCOL","QALL","pigs",7,178,0.0393258426966292,716,2934,0.244035446489434,"E. coli","fluoroquinolones and other quinolones"
"MS27","Member State 27",2021,"ESCCOL","AMP","pigs",59,178,0.331460674157303,1524,2934,0.519427402862986,"E. coli","aminopenicillins"
"MS27","Member State 27",2019,"ESCCOL","AMP","pigs",97,313,0.309904153354633,1889,3556,0.531214848143982,"E. coli","aminopenicillins"
"MS27","Member State 27",2021,"ESCCOL","CEPH","pigs",3,178,0.0168539325842697,486,2934,0.165644171779141,"E. coli","third- and fourth-generation cephalosporins "
"MS27","Member State 27",2020,"ESCCOL","QALL","broilers",145,195,0.743589743589744,638,2997,0.21287954621288,"E. coli","fluoroquinolones and other quinolones"
"MS27","Member State 27",2020,"ESCCOL","CEPH","broilers",0,195,0,437,2997,0.145812479145812,"E. coli","third- and fourth-generation cephalosporins "
"MS27","Member State 27",2019,"ESCCOL","QALL","pigs",7,313,0.0223642172523962,941,3554,0.264772087788407,"E. coli","fluoroquinolones and other quinolones"
"MS27","Member State 27",2020,"ESCCOL","AMP","broilers",78,195,0.4,1548,2997,0.516516516516517,"E. coli","aminopenicillins"
"MS9","Member State 9",2019,"SLMSPP","CEPH","SIMR",0,156,0,3,197,0.0152284263959391,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2020,"SLMSPP","AMP","SIMR",50,125,0.4,62,252,0.246031746031746,"Salmonella spp.","aminopenicillins"
"MS9","Member State 9",2019,"ESCCOL","CEPH","pigs",0,190,0,427,5091,0.0838735022588882,"E. coli","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2020,"SLMSPP","TET","broilers",6,9,0.666666666666667,49,252,0.194444444444444,"Salmonella spp.","tetracyclines"
"MS9","Member State 9",2019,"SLMSPP","CEPH","pig carcasses",0,125,0,1,197,0.0050761421319797,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2021,"ESCCOL","QALL","calves",2,109,0.018348623853211,696,6016,0.115691489361702,"E. coli","fluoroquinolones and other quinolones"
"MS9","Member State 9",2021,"ESCCOL","CEPH","calves",0,109,0,393,5416,0.072562776957164,"E. coli","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2021,"SLMSPP","CEPH","pig carcasses",0,92,0,1,343,0.00291545189504373,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2021,"ESCCOL","AMP","pigs",17,65,0.261538461538462,2497,6001,0.416097317113814,"E. coli","aminopenicillins"
"MS9","Member State 9",2021,"CAMCOL","QALL","pigs",19,121,0.15702479338843,6,14,0.428571428571429,"C. coli","fluoroquinolones and other quinolones"
"MS9","Member State 9",2021,"ESCCOL","QALL","pigs",0,65,0,696,6016,0.115691489361702,"E. coli","fluoroquinolones and other quinolones"
"MS9","Member State 9",2019,"SLMSPP","TET","pig carcasses",58,125,0.464,84,197,0.426395939086294,"Salmonella spp.","tetracyclines"
"MS9","Member State 9",2020,"CAMJEJ","TET","broilers",60,163,0.368098159509202,76,220,0.345454545454545,"C. jejuni","tetracyclines"
"MS9","Member State 9",2021,"SLMSPP","QALL","SIMR",0,92,0,18,343,0.0524781341107872,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS9","Member State 9",2021,"SLMSPP","TET","SIMR",34,92,0.369565217391304,94,343,0.274052478134111,"Salmonella spp.","tetracyclines"
"MS9","Member State 9",2021,"SLMSPP","QALL","pig carcasses",0,92,0,33,343,0.0962099125364431,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS9","Member State 9",2021,"ESCCOL","AMP","calves",8,109,0.073394495412844,2502,6001,0.416930511581403,"E. coli","aminopenicillins"
"MS9","Member State 9",2020,"SLMSPP","QALL","broilers",0,9,0,11,252,0.0436507936507936,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS9","Member State 9",2019,"SLMSPP","QALL","SIMR",0,156,0,20,197,0.101522842639594,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS9","Member State 9",2020,"SLMSPP","CEPH","SIMR",0,125,0,0,252,0,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2020,"SLMSPP","AMP","broilers",2,9,0.222222222222222,45,252,0.178571428571429,"Salmonella spp.","aminopenicillins"
"MS9","Member State 9",2021,"SLMSPP","CEPH","SIMR",0,92,0,2,343,0.00583090379008746,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2021,"SLMSPP","AMP","pig carcasses",27,92,0.293478260869565,74,343,0.215743440233236,"Salmonella spp.","aminopenicillins"
"MS9","Member State 9",2021,"ESCCOL","CEPH","pigs",1,65,0.0153846153846154,374,5416,0.0690546528803545,"E. coli","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2020,"SLMSPP","CEPH","broilers",0,9,0,0,252,0,"Salmonella spp.","third- and fourth-generation cephalosporins "
"MS9","Member State 9",2019,"SLMSPP","QALL","pig carcasses",0,125,0,19,197,0.0964467005076142,"Salmonella spp.","fluoroquinolones and other quinolones"
"MS9","Member State 9",2020,"CAMJEJ","QALL","broilers",66,163,0.404907975460123,105,220,0.477272727272727,"C. jejuni","fluoroquinolones and other quinolones"
